net,length_um
net623,527.64µm
_06932_,527.05µm
net807,526.75µm
net100,526.6µm
net1130,526.4µm
_18506_,526.34µm
net1072,526.21µm
net787,526.01µm
net550,525.02µm
net1075,524.82µm
net1137,524.1µm
_14368_,523.9µm
net681,523.14µm
_25361_,522.72µm
_14022_,522.42µm
net1192,522.12µm
_23856_,522.01µm
net921,521.71µm
net888,521.34µm
_18587_,520.79µm
net822,520.06µm
net871,519.48µm
net1963,519.05µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.i_servile.arbiter.i_wb_cpu_dbus_we,518.94µm
net1051,518.76µm
clknet_4_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,518.65µm
_22723_,518.35µm
net875,517.91µm
net1177,517.28µm
net824,517.03µm
net938,515.97µm
net473,515.55µm
net849,515.37µm
_14081_,515.29µm
net1128,515.23µm
net1067,515.16µm
net1063,515.09µm
net441,514.25µm
net517,514.13µm
net477,513.92µm
_05764_,513.87µm
_14080_,513.72µm
net1183,513.46µm
net813,513.42µm
clknet_3_1__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,513.26µm
net465,513.06µm
net1148,512.82µm
net673,512.5µm
net870,512.49µm
net1290,512.04µm
net852,511.94µm
net463,511.22µm
net555,511.19µm
net974,510.8µm
net553,510.46µm
_18597_,509.69µm
net815,509.54µm
net800,509.49µm
_23875_,508.42µm
net749,507.55µm
net971,507.19µm
net927,507.14µm
net994,507.1µm
clknet_4_2__leaf_clk_i_regs,506.64µm
net1180,506.44µm
_14268_,504.54µm
net533,504.16µm
_18559_,503.94µm
net1992,503.69µm
_14169_,503.08µm
_08595_,502.87µm
net967,502.67µm
net1096,502.21µm
net944,502.06µm
net671,501.6µm
net2200,500.93µm
net883,500.69µm
net479,500.46µm
net819,499.82µm
net823,499.72µm
net5,499.62µm
_20273_,499.15µm
net942,498.9µm
net1184,498.9µm
net1196,496.56µm
clknet_4_15_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,496.56µm
net918,496.54µm
_18599_,496.35µm
net1204,496.15µm
net1111,495.92µm
net1139,495.22µm
net333,495.19µm
net914,494.58µm
net882,494.27µm
net435,494.02µm
net1155,493.8µm
net1060,493.67µm
net1176,493.61µm
net1135,493.4µm
net1069,493.3µm
net1037,493.2µm
clknet_4_0__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,493.2µm
net481,493.05µm
net902,492.92µm
_13801_,492.69µm
net899,492.34µm
_23844_,492.18µm
net476,491.98µm
_18522_,491.72µm
clknet_4_3_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,491.61µm
_18577_,491.46µm
net1248,491.43µm
net940,491.32µm
_08870_,490.4µm
net2203,490µm
net817,489.64µm
_18605_,489.38µm
net928,489.28µm
_13914_,489.23µm
_18781_,489.23µm
net868,489.13µm
net184,488.67µm
net426,488.47µm
net486,488.24µm
net893,488.24µm
clknet_4_1_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,488.01µm
net183,487.91µm
net816,487.86µm
_08588_,487.25µm
_18125_,486.89µm
net965,486.79µm
_18512_,486.68µm
_24632_,486.68µm
net391,486.33µm
net1190,486.33µm
net1034,485.5µm
net1178,485.41µm
net913,485.36µm
net1102,484.44µm
_18863_,484.19µm
net1211,484.09µm
net1080,484.02µm
net839,483.68µm
net910,483.59µm
net421,483.58µm
net1085,483.43µm
net907,483.15µm
net478,482.95µm
net1994,482.76µm
net485,482.61µm
net947,482.41µm
net88,482.36µm
clknet_1_1__leaf_clk_i,482.16µm
net809,481.85µm
net58,481.49µm
clknet_4_3__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,481.29µm
_06762_,481.28µm
net908,480.83µm
net2178,480.62µm
_09501_,480.58µm
_17880_,480.55µm
net1947,480.48µm
net1052,480.12µm
net431,479.25µm
net547,479.1µm
net880,478.34µm
net1188,478.31µm
_14098_,478.03µm
net440,478.03µm
net966,478.02µm
net1203,477.65µm
_18539_,477.47µm
_18609_,477.37µm
net976,477.11µm
net943,477.03µm
net876,476.96µm
_14212_,476.63µm
_18593_,476.5µm
_06153_,476.43µm
net833,475.74µm
net1220,475.69µm
_25466_,475.48µm
net886,475.44µm
net277,475.13µm
net959,474.9µm
_13833_,474.28µm
_18526_,474.16µm
net1972,474.08µm
net1187,474.01µm
net2161,473.7µm
_18564_,473.09µm
net1257,473µm
net810,472.94µm
net1126,472.84µm
net178,472.74µm
net836,471.97µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[10\],471.67µm
net877,471.58µm
net696,471.24µm
net73,470.8µm
net1175,470.8µm
net1501,470.55µm
_12481_,470.45µm
net1133,470.34µm
net906,470.13µm
net785,470.05µm
net1143,469.94µm
_25476_,469.86µm
_13933_,469.83µm
net859,469.82µm
_22719_,469.43µm
net2158,468.66µm
net1410,468.51µm
net929,467.93µm
net1145,467.9µm
_17925_,467.54µm
net848,467.49µm
net397,466.79µm
_18820_,466.27µm
net91,466.27µm
net1132,465.81µm
net1084,465.71µm
net811,464.8µm
net2021,464.67µm
_25490_,464.66µm
net881,464.59µm
_12374_,464.44µm
net362,464.44µm
_18554_,464.18µm
net1033,463.9µm
net865,462.71µm
clknet_4_5_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,462.5µm
net842,462.4µm
net1161,461.38µm
_20272_,461.33µm
_26188_,461.12µm
net963,460.95µm
net958,460.72µm
net845,460.52µm
net1071,460.41µm
net434,460.38µm
net1105,460.37µm
net982,460.19µm
_18695_,460.06µm
net874,459.88µm
clknet_3_6__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,459.6µm
net2153,458.82µm
_25496_,458.63µm
net78,458.43µm
net663,457.91µm
net1594,457.82µm
net951,457.77µm
net1046,457.7µm
net988,457.52µm
net1039,457.29µm
net847,457.13µm
net2192,456.94µm
net76,456.75µm
net1142,456.55µm
net984,456.09µm
net1086,455.58µm
net1078,455.53µm
net1269,455.13µm
net941,454.97µm
_13932_,454.66µm
net750,454.56µm
net1194,454.51µm
net490,453.99µm
net912,453.9µm
_10581_,453.8µm
net1146,453.29µm
net458,453.24µm
_23841_,453.21µm
net528,453.19µm
net788,453.19µm
net915,453.1µm
net471,452.98µm
_18791_,452.93µm
net828,452.73µm
net1050,452.68µm
_16181_,452.58µm
_06421_,452.52µm
