Metric,Value
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.797638
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,38.543205
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14319.8
design__instance__displacement__mean,0.2535
design__instance__displacement__max,31.36
route__wirelength__estimated,2.17189E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2232
design__instance__area__class:timing_repair_buffer,63753
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,1254
design__instance__area__class:clock_buffer,73561.2
design__instance__count__class:clock_inverter,231
design__instance__area__class:clock_inverter,4131.37
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,63
global_route__wirelength,3439447
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,3
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,30.7328
route__net,45646
route__net__special,2
route__drc_errors__iter:0,62
route__wirelength__iter:0,2486698
route__drc_errors__iter:1,17
route__wirelength__iter:1,2486682
route__drc_errors__iter:2,15
route__wirelength__iter:2,2486669
route__drc_errors__iter:3,0
route__wirelength__iter:3,2486635
route__drc_errors__iter:4,59
route__wirelength__iter:4,2486520
route__drc_errors__iter:5,7
route__wirelength__iter:5,2486547
route__drc_errors__iter:6,6
route__wirelength__iter:6,2486546
route__drc_errors__iter:7,6
route__wirelength__iter:7,2486546
route__drc_errors__iter:8,7
route__wirelength__iter:8,2486616
route__drc_errors__iter:9,7
route__wirelength__iter:9,2486616
route__drc_errors__iter:10,7
route__wirelength__iter:10,2486616
route__drc_errors__iter:11,0
route__wirelength__iter:11,2486616
route__drc_errors,0
route__wirelength,2486635
route__vias,332331
route__vias__singlecut,332331
