net,length_um
_10962_,515.07µm
net405,514.84µm
net907,514.28µm
net965,513.67µm
_16926_,513.21µm
net956,512.77µm
net1191,511.58µm
_12849_,511.57µm
net1641,510.97µm
net1401,510.89µm
_12693_,510.36µm
net1463,510.03µm
net1314,509.8µm
_18938_,509.29µm
net874,509.19µm
net1522,508.88µm
net873,508.63µm
net895,508.58µm
_12469_,508.48µm
spi_flash_sd_io[3],508.44µm
net855,508.42µm
net1321,508.37µm
net1318,508.27µm
_12610_,508.22µm
net1565,508.12µm
net191,507.05µm
net1121,505.98µm
_04631_,505.83µm
net1490,505.71µm
net1111,505.5µm
_12582_,505.37µm
_12534_,504.81µm
net1839,504.81µm
net973,504.3µm
net1118,503.64µm
net1261,502.11µm
_12377_,501.96µm
net1249,501.82µm
_12409_,501.7µm
_13233_,501.6µm
_10938_,501.4µm
spi_flash_sd_io[0],501.16µm
net1501,501.15µm
_12557_,501.14µm
_12573_,500.38µm
net1455,500.16µm
_12465_,499.26µm
_12429_,498.75µm
net1096,498.7µm
clknet_2_1__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,498.6µm
net745,498.35µm
net755,498.14µm
_10781_,498.04µm
_05536_,497.78µm
net1412,497.63µm
clknet_leaf_37_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,497.07µm
net906,497.02µm
_10667_,496.92µm
net159,496.31µm
_10963_,496.06µm
_26332_,496.05µm
net861,495.97µm
net972,495.7µm
_05401_,495.34µm
net1466,495.21µm
net905,495.19µm
_10906_,494.78µm
clknet_2_2__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,494.73µm
net858,493.97µm
net959,493.27µm
net1631,493.25µm
_12431_,492.49µm
_11029_,491.93µm
_25330_,491.24µm
net1343,490.86µm
net865,489.79µm
net1447,489.58µm
i_core_v_mini_mcu.peripheral_slave_resp\[12\],487.91µm
net1122,487.55µm
_12413_,487.35µm
_10599_,486.28µm
_11678_,485.87µm
_12454_,485.67µm
net1394,485.15µm
net293,483.89µm
net1306,483.48µm
_12538_,483.28µm
net894,482.87µm
_06003_,482.82µm
net1014,482.75µm
net916,482.64µm
_10646_,482.45µm
net1275,482.35µm
clknet_4_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,482.31µm
net1588,482.26µm
net893,481.09µm
_23250_,480.78µm
_05531_,480.73µm
net1243,480.73µm
net1189,479.97µm
net935,479.1µm
_12713_,478.79µm
net939,478.67µm
_12415_,478.62µm
_19267_,478.35µm
_04630_,476.93µm
net1196,476.45µm
net1426,476.1µm
net1259,475.34µm
net1499,474.37µm
net963,473.91µm
_12756_,473.45µm
net3,473.3µm
net1007,472.43µm
net954,472.33µm
net1114,472.28µm
net300,472.08µm
net1283,471.92µm
net1529,471.26µm
net975,471.01µm
_23245_,469.53µm
net1298,469.07µm
net904,468.97µm
net902,468.87µm
net291,468.86µm
net957,467.24µm
net978,467.21µm
_12419_,466.39µm
net1106,465.9µm
_10675_,465.32µm
net1514,465.3µm
