Metric,Value
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.708170
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,39.549564
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14254.8
design__instance__displacement__mean,0.2095
design__instance__displacement__max,23.52
route__wirelength__estimated,2.67757E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2872
design__instance__area__class:timing_repair_buffer,80776.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,1561
design__instance__area__class:clock_buffer,90003.2
design__instance__count__class:clock_inverter,385
design__instance__area__class:clock_inverter,6870.98
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
global_route__vias,20
global_route__wirelength,4205191
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,15
design__instance__count__class:antenna_cell,19
design__instance__area__class:antenna_cell,83.4176
route__net,53198
route__net__special,2
route__drc_errors__iter:0,8
route__wirelength__iter:0,3058551
route__drc_errors__iter:1,1
route__wirelength__iter:1,3058551
route__drc_errors__iter:2,1
route__wirelength__iter:2,3058551
route__drc_errors__iter:3,0
route__wirelength__iter:3,3058551
route__drc_errors__iter:4,30
route__wirelength__iter:4,3058372
route__drc_errors__iter:5,4
route__wirelength__iter:5,3058374
route__drc_errors__iter:6,4
route__wirelength__iter:6,3058382
route__drc_errors__iter:7,0
route__wirelength__iter:7,3058395
route__drc_errors,0
route__wirelength,3058551
route__vias,384635
route__vias__singlecut,384635
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1376.01
design__instance__count__class:fill_cell,59657
design__instance__area__class:fill_cell,641462
