Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_272_645,VDD,Metal1,381.6400,1093.6800,4.999986
FILLER_272_616,VDD,Metal1,365.4000,1093.6800,4.999984
FILLER_272_614,VDD,Metal1,364.5600,1093.6800,4.999984
FILLER_272_577,VDD,Metal1,343.5600,1093.6800,4.999981
FILLER_272_575,VDD,Metal1,342.7200,1093.6800,4.999981
FILLER_272_553,VDD,Metal1,330.1200,1093.6800,4.999977
FILLER_272_551,VDD,Metal1,329.2800,1093.6800,4.999977
FILLER_272_543,VDD,Metal1,324.5200,1093.6800,4.999975
FILLER_272_512,VDD,Metal1,308.3800,1093.2475,4.999975
FILLER_272_504,VDD,Metal1,302.6800,1093.6800,4.999973
FILLER_272_441,VDD,Metal1,267.4000,1093.6800,4.999977
FILLER_272_410,VDD,Metal1,251.2600,1093.2475,4.999976
FILLER_272_368,VDD,Metal1,226.5200,1093.6800,4.999974
FILLER_272_271,VDD,Metal1,172.2000,1093.6800,4.999979
FILLER_272_269,VDD,Metal1,171.3600,1093.6800,4.999980
FILLER_272_230,VDD,Metal1,151.7065,1093.1030,4.999981
FILLER_272_225,VDD,Metal1,146.4400,1093.6800,4.999984
FILLER_272_223,VDD,Metal1,145.6000,1093.6800,4.999984
FILLER_272_219,VDD,Metal1,144.3000,1093.2475,4.999984
FILLER_272_211,VDD,Metal1,141.0665,1093.1030,4.999984
FILLER_272_199,VDD,Metal1,131.8800,1093.6800,4.999986
FILLER_272_195,VDD,Metal1,130.8600,1093.2475,4.999986
FILLER_272_187,VDD,Metal1,127.6265,1093.1030,4.999987
FILLER_272_169,VDD,Metal1,115.0800,1093.6800,4.999989
FILLER_272_167,VDD,Metal1,114.2400,1093.6800,4.999989
FILLER_272_159,VDD,Metal1,111.9465,1093.1030,4.999989
FILLER_272_143,VDD,Metal1,105.3280,1092.9880,4.999990
FILLER_272_134,VDD,Metal1,95.7600,1093.6800,4.999990
FILLER_272_125,VDD,Metal1,91.6600,1093.2475,4.999990
FILLER_272_109,VDD,Metal1,81.4800,1093.6800,4.999991
FILLER_272_98,VDD,Metal1,76.5400,1093.2475,4.999991
FILLER_272_77,VDD,Metal1,63.5600,1093.6800,4.999992
FILLER_272_75,VDD,Metal1,62.7200,1093.6800,4.999992
FILLER_272_66,VDD,Metal1,57.6800,1093.6800,4.999993
FILLER_272_27,VDD,Metal1,35.8400,1093.6800,4.999994
FILLER_271_1889,VDD,Metal1,1078.2800,1085.8400,4.999976
FILLER_271_1880,VDD,Metal1,1073.2400,1085.8400,4.999976
FILLER_271_1876,VDD,Metal1,1072.2200,1086.2725,4.999976
FILLER_271_1868,VDD,Metal1,1068.9865,1086.4165,4.999975
FILLER_271_1830,VDD,Metal1,1045.2400,1085.8400,4.999974
FILLER_271_1822,VDD,Metal1,1043.2265,1086.4165,4.999974
FILLER_271_1783,VDD,Metal1,1021.3865,1086.4165,4.999973
FILLER_271_1752,VDD,Metal1,1001.8400,1085.8400,4.999975
FILLER_271_1749,VDD,Metal1,999.8800,1085.8400,4.999975
FILLER_271_1738,VDD,Metal1,993.7200,1085.8400,4.999975
FILLER_271_1736,VDD,Metal1,992.8800,1085.8400,4.999975
