net,length_um
_13958_,500.96µm
net1299,500.23µm
_18632_,499.72µm
net854,498.6µm
clknet_1_1__leaf_clk_i,498.5µm
net1105,498.14µm
_24781_,497.65µm
net1738,497.38µm
net758,497.17µm
net1463,496.73µm
_10521_,496.21µm
_12438_,495.85µm
_12397_,495.5µm
_12740_,495.48µm
net773,495.34µm
net796,494.54µm
net1055,494.02µm
_16434_,493.46µm
net934,493µm
net1121,492.95µm
_12764_,491.78µm
_25818_,490.84µm
net869,490.25µm
net2042,490.2µm
net2015,489.84µm
net1224,487.76µm
net1468,487.6µm
_18549_,487.56µm
_24584_,486.99µm
net2087,486.43µm
net1832,486.28µm
net1210,485.63µm
net791,485.44µm
net895,485.26µm
_24105_,484.48µm
net1160,482.96µm
net1240,482.8µm
_10523_,482.41µm
_12483_,481.85µm
_24083_,480.73µm
net579,480.47µm
_12347_,479.46µm
net1980,478.39µm
_05601_,477.88µm
_24215_,477.21µm
net1921,476.86µm
net900,476.44µm
net1983,476.1µm
net1444,475.13µm
_20442_,474.68µm
net1302,474.24µm
net938,474.01µm
net2047,473.86µm
net768,473.14µm
net586,471.82µm
net913,471.67µm
net1443,471.39µm
net2044,471.36µm
net2031,470.8µm
net705,470.55µm
net853,470.04µm
_12457_,469.51µm
net693,468.29µm
_24824_,468.25µm
net673,468.22µm
net752,468.03µm
net1300,467.75µm
_24127_,467.67µm
_20813_,467.39µm
_18434_,466.63µm
_25452_,466.34µm
net1486,466.22µm
net1144,465.41µm
net1566,464.93µm
_24091_,464.59µm
_12377_,464.44µm
net799,464.34µm
net715,463.88µm
_24084_,463.52µm
net1493,463.01µm
_24192_,462.86µm
net2065,462.76µm
net1975,462.05µm
_24189_,461.74µm
net698,461.64µm
clknet_leaf_67_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,461.59µm
net1288,461.13µm
net2077,461.08µm
net1560,460.72µm
net2056,460.64µm
net2126,460.62µm
net1099,460.01µm
_24136_,459.6µm
net1395,459.45µm
net803,459.15µm
clknet_4_0__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,458.48µm
net1136,458.33µm
_10841_,458.28µm
net790,458.28µm
_12440_,458.23µm
net757,457.89µm
_24128_,457.26µm
net1982,457.11µm
_24639_,456.8µm
net2072,456.78µm
net1312,456.75µm
_10432_,456.53µm
_12511_,456.06µm
_10571_,455.99µm
_26401_,455.64µm
net1987,455.53µm
_12462_,455.17µm
_07168_,454.56µm
net1933,454.26µm
_19489_,454.14µm
_10917_,454.07µm
net1318,452.85µm
net798,452.22µm
net730,452.17µm
net1393,452.1µm
net1140,451.91µm
net729,451.71µm
_18933_,451.61µm
net770,451.15µm
net1294,451.15µm
_05995_,451.1µm
net1098,451.05µm
_10869_,450.9µm
net1196,450.68µm
net1298,450.62µm
_05947_,450.28µm
net804,450.13µm
net2049,449.88µm
net1147,449.66µm
_24396_,449.06µm
_17500_,448.92µm
net1587,448.91µm
net848,448.71µm
net714,448.35µm
net1192,448.3µm
net1802,448.2µm
net933,448.15µm
net2041,447.03µm
net797,446.72µm
net1309,446.6µm
net1344,446.57µm
_06072_,445.86µm
_23001_,445.7µm
net1109,444.93µm
net1383,444.79µm
_10569_,444.74µm
_18935_,444.69µm
_24339_,444.63µm
clknet_3_6_0_clk_i_regs,443.62µm
_10519_,443.16µm
_20365_,442.49µm
net1909,441.94µm
net1922,441.79µm
net1988,441.53µm
_05963_,441.48µm
_11218_,441.47µm
_24166_,441.32µm
net748,441.18µm
_14372_,441.02µm
_12475_,440.95µm
net653,440.72µm
net1343,440.51µm
_12579_,439.7µm
_24096_,439.44µm
net814,439.32µm
_10534_,439.3µm
net1428,439.26µm
net1159,439.15µm
_05788_,438.68µm
net1474,438.68µm
_09199_,438.52µm
net1370,438.4µm
net1930,437.81µm
_14113_,437.05µm
net1106,436.86µm
_24125_,436.54µm
net1981,436.32µm
net1293,436.13µm
_24627_,436.08µm
clknet_4_2__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,435.98µm
_18929_,435.88µm
_18183_,435.83µm
net2038,435.83µm
_26368_,435.77µm
net326,434.81µm
net1134,434.76µm
_26194_,434.73µm
_07464_,434.2µm
_25751_,434.19µm
net889,433.64µm
_06045_,432.98µm
_19448_,432.93µm
net1729,431.91µm
net244,431.81µm
net534,431.55µm
_10355_,431.38µm
net823,431.35µm
_14383_,430.89µm
net850,430.43µm
_06598_,430.24µm
_25395_,430.18µm
net1435,429.72µm
net724,429.21µm
net2051,429.16µm
net1481,429.14µm
net2040,429.11µm
net1054,428.85µm
_12447_,428.6µm
net598,428.47µm
