Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_274_1030,VDD,Metal1,594.5400,1097.1675,4.999997
FILLER_274_1022,VDD,Metal1,591.3065,1097.0230,4.999997
FILLER_274_1019,VDD,Metal1,587.1600,1097.6000,4.999997
FILLER_274_1005,VDD,Metal1,580.5400,1097.1675,4.999997
FILLER_274_996,VDD,Metal1,575.5000,1097.1675,4.999997
FILLER_274_988,VDD,Metal1,572.2665,1097.0230,4.999997
FILLER_274_985,VDD,Metal1,568.1200,1097.6000,4.999997
FILLER_274_983,VDD,Metal1,567.2800,1097.6000,4.999997
FILLER_274_979,VDD,Metal1,565.9800,1097.1675,4.999997
FILLER_274_962,VDD,Metal1,556.4600,1097.1675,4.999997
FILLER_274_954,VDD,Metal1,553.2265,1097.0230,4.999997
FILLER_274_944,VDD,Metal1,547.6265,1097.0230,4.999997
FILLER_274_935,VDD,Metal1,541.3400,1097.1675,4.999997
FILLER_274_927,VDD,Metal1,538.1065,1097.0230,4.999997
FILLER_274_920,VDD,Metal1,532.0000,1097.6000,4.999997
FILLER_274_897,VDD,Metal1,523.6480,1096.9080,4.999997
FILLER_274_886,VDD,Metal1,512.6800,1097.6000,4.999996
FILLER_274_883,VDD,Metal1,511.0000,1097.6000,4.999996
FILLER_274_869,VDD,Metal1,504.3800,1097.1675,4.999996
FILLER_274_852,VDD,Metal1,493.6400,1097.6000,4.999996
FILLER_274_820,VDD,Metal1,475.7200,1097.6000,4.999996
FILLER_274_818,VDD,Metal1,474.8800,1097.6000,4.999996
FILLER_274_814,VDD,Metal1,472.6400,1097.6000,4.999996
FILLER_274_797,VDD,Metal1,463.1200,1097.6000,4.999996
FILLER_274_793,VDD,Metal1,461.8200,1097.1675,4.999996
FILLER_274_784,VDD,Metal1,456.7800,1097.1675,4.999996
FILLER_274_761,VDD,Metal1,442.6800,1097.6000,4.999996
FILLER_274_759,VDD,Metal1,441.8400,1097.6000,4.999996
FILLER_274_750,VDD,Metal1,436.5200,1097.6000,4.999996
FILLER_274_747,VDD,Metal1,434.8400,1097.6000,4.999996
FILLER_274_743,VDD,Metal1,433.8200,1097.1675,4.999996
FILLER_274_735,VDD,Metal1,430.5865,1097.0230,4.999996
FILLER_274_728,VDD,Metal1,424.4800,1097.6000,4.999996
FILLER_274_724,VDD,Metal1,423.1800,1097.1675,4.999996
FILLER_274_716,VDD,Metal1,419.9465,1097.0230,4.999996
FILLER_274_713,VDD,Metal1,415.8000,1097.6000,4.999996
FILLER_274_711,VDD,Metal1,414.9600,1097.6000,4.999996
FILLER_274_695,VDD,Metal1,410.5280,1096.9080,4.999996
FILLER_274_678,VDD,Metal1,396.4800,1097.6000,4.999995
FILLER_274_672,VDD,Metal1,392.8400,1097.6000,4.999995
FILLER_274_664,VDD,Metal1,390.8265,1097.0230,4.999995
