net,length_um
net721,509.49µm
net803,509.48µm
net360,509.05µm
_12764_,508.63µm
net871,508.6µm
net854,508.57µm
net574,508.22µm
net704,508.11µm
net693,507.66µm
net835,507.3µm
_05699_,506.69µm
net828,506.67µm
net1681,506.54µm
net485,506.39µm
net1198,506.39µm
_24167_,506.29µm
net371,506.17µm
net611,505.88µm
net837,504.35µm
net327,504.2µm
net313,504.15µm
net831,503.74µm
net668,503.69µm
net488,503.59µm
net1620,503.42µm
net323,503.18µm
_20881_,502.57µm
net300,502.57µm
net491,502.01µm
net886,501.71µm
net575,501.5µm
net701,501.5µm
net689,501.05µm
_12457_,500.74µm
_24584_,500.28µm
_10843_,499.82µm
net930,499.31µm
net373,499.21µm
_05601_,498.95µm
_24095_,498.9µm
net1459,498.6µm
net1624,498.6µm
net622,497.32µm
net497,496.92µm
net795,496.56µm
net1728,496.26µm
net804,495.7µm
net597,495.44µm
net478,495.24µm
net770,494.32µm
net284,493.61µm
net565,493.56µm
_10521_,493.09µm
_24639_,492.95µm
net569,492.54µm
net640,492.23µm
net651,491.83µm
net690,491.67µm
net577,491.17µm
clknet_1_1__leaf_clk_i,490.91µm
net627,490.86µm
net454,490.81µm
_10523_,490.66µm
net743,490.56µm
net631,490.35µm
net1689,490.25µm
net760,489.79µm
_24879_,489.74µm
net346,489.74µm
_26368_,489.28µm
net496,488.57µm
net679,488.44µm
_12740_,488.25µm
net355,488µm
net500,487.86µm
_06178_,487.81µm
_22988_,487.55µm
net369,486.53µm
net293,486.51µm
_18549_,485.93µm
net1204,485.77µm
net748,485.72µm
_24810_,485.46µm
net685,485.36µm
net771,485.31µm
net482,485.3µm
net353,485.09µm
net492,485.06µm
net641,485.03µm
net396,484.82µm
clknet_4_2__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,484.29µm
_25798_,484.24µm
net715,484.09µm
_24186_,483.73µm
net616,483.63µm
_24084_,483.02µm
net320,482.92µm
net1640,482.31µm
net788,481.39µm
net719,480.94µm
net790,480.4µm
net705,480.37µm
net872,480.13µm
net619,478.95µm
net345,478.34µm
net848,478.19µm
_26401_,477.42µm
net30,477.09µm
net752,477.05µm
net757,476.9µm
net303,476.76µm
_06061_,476.61µm
_06162_,476.2µm
net657,476.2µm
_19489_,475.91µm
_24127_,475.79µm
net713,474.72µm
net304,474.62µm
net331,474.62µm
net1139,474.42µm
net944,474.36µm
_14113_,473.7µm
net464,473.55µm
_10841_,472.79µm
net747,472.42µm
net347,472.33µm
_24136_,472.12µm
net439,471.72µm
_24083_,471.69µm
net769,471.06µm
net1447,471.01µm
_25818_,470.95µm
_24192_,470.54µm
net645,469.98µm
net605,469.72µm
_19351_,469.58µm
net1729,469.53µm
net564,469.38µm
net375,469.17µm
_10519_,468.87µm
_20813_,468.56µm
net591,468.41µm
net1671,468.36µm
net592,468.31µm
net36,467.34µm
net1632,467.29µm
net298,467.03µm
net534,466.63µm
_10545_,466.34µm
_25452_,465.71µm
net330,465.66µm
net875,465.56µm
net1621,465.26µm
net336,464.44µm
net775,463.83µm
_24293_,463.52µm
net593,463.47µm
net582,463.37µm
net745,462.93µm
net337,462.76µm
net736,462.66µm
net696,462.03µm
net938,461.28µm
net1625,461.03µm
net354,459.9µm
net741,459.42µm
_14002_,459.3µm
net763,458.99µm
net340,458.43µm
net762,458.43µm
_24339_,458.38µm
net1571,458.28µm
net480,458.08µm
net716,457.92µm
net448,457.67µm
net388,457.37µm
net1673,456.8µm
net1473,456.75µm
net1174,455.99µm
net1660,455.99µm
