Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_273_713,VSS,Metal1,415.8000,1093.6800,0.000001
FILLER_273_711,VSS,Metal1,414.9600,1093.6800,0.000001
FILLER_273_687,VSS,Metal1,401.2400,1093.6800,0.000001
FILLER_273_682,VSS,Metal1,398.4400,1093.6800,0.000001
FILLER_273_667,VSS,Metal1,390.0400,1093.6800,0.000001
FILLER_273_659,VSS,Metal1,387.0130,1093.2180,0.000001
FILLER_273_652,VSS,Metal1,381.9200,1093.6800,0.000001
FILLER_273_648,VSS,Metal1,379.8600,1093.3310,0.000001
FILLER_273_645,VSS,Metal1,377.7200,1093.6800,0.000001
FILLER_273_641,VSS,Metal1,375.9400,1093.3310,0.000001
FILLER_273_610,VSS,Metal1,358.4000,1093.6800,0.000000
FILLER_273_595,VSS,Metal1,349.7200,1093.6800,0.000000
FILLER_273_593,VSS,Metal1,348.8800,1093.6800,0.000000
FILLER_273_586,VSS,Metal1,344.6800,1093.6800,0.000000
FILLER_273_584,VSS,Metal1,343.8400,1093.6800,0.000000
FILLER_273_550,VSS,Metal1,324.8000,1093.6800,0.000000
FILLER_273_546,VSS,Metal1,322.7400,1093.3310,0.000000
FILLER_273_528,VSS,Metal1,315.7920,1093.1320,0.000000
FILLER_273_522,VSS,Metal1,308.8400,1093.6800,0.000000
FILLER_273_520,VSS,Metal1,308.0000,1093.6800,0.000000
FILLER_273_501,VSS,Metal1,297.0800,1093.6800,0.000000
FILLER_273_499,VSS,Metal1,296.2400,1093.6800,0.000000
FILLER_273_478,VSS,Metal1,284.2000,1093.6800,0.000000
FILLER_273_441,VSS,Metal1,263.4800,1093.6800,0.000000
FILLER_273_407,VSS,Metal1,244.4400,1093.6800,0.000000
FILLER_273_385,VSS,Metal1,232.1200,1093.6800,0.000000
FILLER_273_383,VSS,Metal1,231.2800,1093.6800,0.000000
FILLER_273_376,VSS,Metal1,227.3600,1093.6800,0.000000
FILLER_273_364,VSS,Metal1,220.3600,1093.6800,0.000000
FILLER_273_362,VSS,Metal1,219.5200,1093.6800,0.000000
FILLER_273_358,VSS,Metal1,217.4600,1093.3310,0.000000
FILLER_273_352,VSS,Metal1,213.6400,1093.6800,0.000000
FILLER_273_350,VSS,Metal1,212.8000,1093.6800,0.000000
FILLER_273_344,VSS,Metal1,209.1600,1093.6800,0.000000
FILLER_273_342,VSS,Metal1,208.3200,1093.6800,0.000000
