Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_272_1660,VSS,Metal1,946.5800,1086.1885,0.000052
FILLER_272_1638,VSS,Metal1,934.0800,1085.8400,0.000053
FILLER_272_1614,VSS,Metal1,920.3600,1085.8400,0.000054
FILLER_272_1606,VSS,Metal1,917.3330,1086.3015,0.000057
FILLER_272_1571,VSS,Metal1,896.7400,1086.1885,0.000056
FILLER_272_1511,VSS,Metal1,862.6800,1085.8400,0.000055
FILLER_272_1507,VSS,Metal1,860.9000,1086.1885,0.000055
FILLER_272_1503,VSS,Metal1,858.4800,1085.8400,0.000055
FILLER_272_1473,VSS,Metal1,841.4000,1085.8400,0.000055
FILLER_272_1471,VSS,Metal1,840.5600,1085.8400,0.000055
FILLER_272_1433,VSS,Metal1,819.2800,1085.8400,0.000053
FILLER_272_1375,VSS,Metal1,786.5200,1085.8400,0.000050
FILLER_272_1367,VSS,Metal1,783.4930,1086.3015,0.000051
FILLER_272_1363,VSS,Metal1,780.0800,1085.8400,0.000051
FILLER_272_1357,VSS,Metal1,776.4400,1085.8400,0.000051
FILLER_272_1348,VSS,Metal1,771.4000,1085.8400,0.000051
FILLER_272_1340,VSS,Metal1,768.3730,1086.3015,0.000051
FILLER_272_1229,VSS,Metal1,704.7600,1085.8400,0.000052
FILLER_272_1227,VSS,Metal1,703.9200,1085.8400,0.000052
FILLER_272_1224,VSS,Metal1,701.9600,1085.8400,0.000052
FILLER_272_1211,VSS,Metal1,694.6800,1085.8400,0.000052
FILLER_272_1209,VSS,Metal1,693.8400,1085.8400,0.000052
FILLER_272_1191,VSS,Metal1,683.4800,1085.8400,0.000062
FILLER_272_1017,VSS,Metal1,586.3200,1085.8400,0.000054
FILLER_272_981,VSS,Metal1,566.1600,1085.8400,0.000051
FILLER_272_877,VSS,Metal1,507.9200,1085.8400,0.000046
FILLER_272_874,VSS,Metal1,505.9600,1085.8400,0.000044
FILLER_272_866,VSS,Metal1,502.9330,1086.3015,0.000043
FILLER_272_859,VSS,Metal1,497.8400,1085.8400,0.000038
FILLER_272_855,VSS,Metal1,495.7800,1086.1885,0.000038
FILLER_272_823,VSS,Metal1,485.4040,1086.4375,0.000037
FILLER_272_815,VSS,Metal1,473.2000,1085.8400,0.000037
FILLER_272_807,VSS,Metal1,469.8930,1086.3015,0.000037
FILLER_272_804,VSS,Metal1,466.7600,1085.8400,0.000037
FILLER_272_800,VSS,Metal1,464.9800,1086.1885,0.000037
FILLER_272_792,VSS,Metal1,461.4930,1086.3015,0.000037
FILLER_272_784,VSS,Metal1,455.5600,1085.8400,0.000037
FILLER_272_782,VSS,Metal1,454.7200,1085.8400,0.000037
FILLER_272_778,VSS,Metal1,452.6600,1086.1885,0.000037
