Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_272_1660,VDD,Metal1,947.3400,1089.3275,4.999940
FILLER_272_1638,VDD,Metal1,934.0800,1089.7600,4.999940
FILLER_272_1614,VDD,Metal1,920.3600,1089.7600,4.999953
FILLER_272_1606,VDD,Metal1,918.3465,1089.1830,4.999953
FILLER_272_1571,VDD,Metal1,897.5000,1089.3275,4.999953
FILLER_272_1511,VDD,Metal1,862.6800,1089.7600,4.999955
FILLER_272_1507,VDD,Metal1,861.6600,1089.3275,4.999955
FILLER_272_1503,VDD,Metal1,858.4800,1089.7600,4.999955
FILLER_272_1473,VDD,Metal1,841.4000,1089.7600,4.999955
FILLER_272_1471,VDD,Metal1,840.5600,1089.7600,4.999955
FILLER_272_1433,VDD,Metal1,819.2800,1089.7600,4.999961
FILLER_272_1375,VDD,Metal1,786.5200,1089.7600,4.999963
FILLER_272_1367,VDD,Metal1,784.5065,1089.1830,4.999963
FILLER_272_1363,VDD,Metal1,780.0800,1089.7600,4.999963
FILLER_272_1357,VDD,Metal1,776.4400,1089.7600,4.999964
FILLER_272_1348,VDD,Metal1,771.4000,1089.7600,4.999964
FILLER_272_1340,VDD,Metal1,769.3865,1089.1830,4.999964
FILLER_272_1229,VDD,Metal1,704.7600,1089.7600,4.999964
FILLER_272_1227,VDD,Metal1,703.9200,1089.7600,4.999964
FILLER_272_1224,VDD,Metal1,701.9600,1089.7600,4.999963
FILLER_272_1211,VDD,Metal1,694.6800,1089.7600,4.999963
FILLER_272_1209,VDD,Metal1,693.8400,1089.7600,4.999963
FILLER_272_1191,VDD,Metal1,683.4800,1089.7600,4.999962
FILLER_272_1017,VDD,Metal1,586.3200,1089.7600,4.999964
FILLER_272_981,VDD,Metal1,566.1600,1089.7600,4.999981
FILLER_272_877,VDD,Metal1,507.9200,1089.7600,4.999982
FILLER_272_874,VDD,Metal1,505.9600,1089.7600,4.999982
FILLER_272_866,VDD,Metal1,503.9465,1089.1830,4.999982
FILLER_272_859,VDD,Metal1,497.8400,1089.7600,4.999982
FILLER_272_855,VDD,Metal1,496.5400,1089.3275,4.999982
FILLER_272_823,VDD,Metal1,486.7555,1088.9910,4.999982
FILLER_272_815,VDD,Metal1,473.2000,1089.7600,4.999982
