Metric,Value
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.775693
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,38.391457
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,107721
design__instance__displacement__mean,2.3615
design__instance__displacement__max,178.64
route__wirelength__estimated,1.84688E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2575
design__instance__area__class:timing_repair_buffer,66817.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,894
design__instance__area__class:clock_buffer,53435.6
design__instance__count__class:clock_inverter,123
design__instance__area__class:clock_inverter,2182.03
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,44
global_route__wirelength,2905501
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,3
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,39.5136
route__net,37207
route__net__special,2
route__drc_errors__iter:0,60
route__wirelength__iter:0,2087113
route__drc_errors__iter:1,6
route__wirelength__iter:1,2087087
route__drc_errors__iter:2,5
route__wirelength__iter:2,2087090
route__drc_errors__iter:3,0
route__wirelength__iter:3,2087074
route__drc_errors__iter:4,133
route__wirelength__iter:4,2087134
route__drc_errors__iter:5,25
route__wirelength__iter:5,2087058
route__drc_errors__iter:6,8
route__wirelength__iter:6,2087045
route__drc_errors__iter:7,1
route__wirelength__iter:7,2087047
route__drc_errors__iter:8,1
route__wirelength__iter:8,2087047
route__drc_errors__iter:9,0
route__wirelength__iter:9,2087070
route__drc_errors,0
route__wirelength,2087074
route__vias,276353
route__vias__singlecut,276353
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
